,Reward
1045,645.0
1046,504.0
1047,800.0
1048,738.0
1049,836.0
1050,396.0
1051,853.0
1052,714.0
1053,417.0
1054,693.0
1055,732.0
1056,847.0
1057,828.0
1058,509.0
1059,203.0
1060,789.0
1061,380.0
1062,613.0
1063,779.0
1064,943.0
1065,743.0
1066,258.0
1067,429.0
1068,469.0
1069,280.0
1070,329.0
1071,600.0
1072,708.0
1073,344.0
1074,639.0
1075,482.0
1076,545.0
1077,738.0
1078,495.0
1079,241.0
1080,670.0
1081,483.0
1082,567.0
1083,469.0
1084,885.0
1085,513.0
1086,531.0
1087,459.0
1088,461.0
1089,477.0
1090,290.0
1091,681.0
1092,328.0
1093,699.0
1094,501.0
1095,529.0
1096,897.0
1097,296.0
1098,735.0
1099,441.0
1100,631.0
1101,719.0
1102,372.0
1103,651.0
1104,527.0
1105,736.0
1106,614.0
1107,765.0
1108,714.0
1109,470.0
1110,577.0
1111,400.0
1112,524.0
1113,557.0
1114,405.0
1115,675.0
1116,664.0
1117,572.0
1118,693.0
1119,855.0
1120,407.0
1121,645.0
1122,443.0
1123,647.0
1124,986.0
1125,686.0
1126,720.0
1127,172.0
1128,538.0
1129,603.0
1130,723.0
1131,558.0
1132,1059.0
1133,473.0
1134,527.0
1135,405.0
1136,526.0
1137,694.0
1138,843.0
1139,408.0
1140,534.0
1141,857.0
1142,874.0
1143,299.0
1144,938.0
1145,962.0
1146,905.0
1147,794.0
1148,657.0
1149,500.0
1150,416.0
1151,612.0
1152,384.0
1153,477.0
1154,248.0
1155,711.0
1156,277.0
1157,709.0
1158,641.0
1159,656.0
1160,500.0
1161,883.0
1162,568.0
1163,635.0
1164,806.0
1165,412.0
1166,474.0
1167,603.0
1168,956.0
1169,1023.0
1170,934.0
1171,374.0
1172,718.0
1173,503.0
1174,512.0
1175,684.0
1176,704.0
1177,594.0
1178,306.0
1179,1018.0
1180,563.0
1181,619.0
1182,434.0
1183,1187.0
1184,568.0
1185,687.0
1186,721.0
1187,451.0
1188,547.0
1189,855.0
1190,644.0
1191,640.0
1192,891.0
1193,681.0
1194,585.0
1195,879.0
1196,551.0
1197,689.0
1198,603.0
1199,971.0
1200,695.0
1201,473.0
1202,730.0
1203,486.0
1204,402.0
1205,645.0
1206,1014.0
